,AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,HOUSE_AGE
27,Karapakkam,1301,59,1,1,3,Normal Sale,Yes,Others,NoSeWa,Gravel,C,7939625,2555
28,Adyar,730,185,1,1,2,AdjLand,Yes,House,ELO,Gravel,RL,8848285,14235
29,T Nagar,1806,138,2,1,5,Family,No,House,NoSeWa,Paved,RH,11338200,12775
30,Anna Nagar,1981,173,2,1,5,AdjLand,No,House,ELO,No Access,RL,12872430,3285
31,Adyar,868,15,1,1,3,Normal Sale,No,Others,NoSeWa,Gravel,RL,9042050,3650
32,T Nagar,1721,117,1,1,4,AdjLand,Yes,Others,ELO,Paved,RM,14874380,7300
33,Velachery,1755,16,2,1,4,AdjLand,Yes,Others,AllPub,Gravel,A,10222380,6935
34,Anna Nagar,1709,130,1,1,4,Family,No,Others,NoSeWa,Gravel,RH,12928590,2190
35,KK Nagar,2114,46,3,2,5,AdjLand,Yes,Commercial,NoSeWa,Gravel,RH,17564820,7665
36,Karapakkam,1226,180,1,1,3,Normal Sale,No,House,AllPub,Paved,A,4971250,9855
37,Velachery,1648,111,2,1,4,Family,Yes,Others,NoSeWa,Paved,C,9170660,4745
38,Chrompet,856,36,1,1,3,AdjLand,Yes,Others,NoSeWa,Gravel,RM,10383420,9490
39,Adyar,904,52,1,1,3,AdjLand,No,Commercial,ELO,No Access,RM,11601400,14600
40,Chrompet,1198,105,1,1,3,Normal Sale,No,Others,AllPub,No Access,RH,8249260,13140
41,Karapakkam,931,16,1,1,3,AdjLand,No,Commercial,AllPub,Paved,A,6944500,6570
42,Karapakkam,1290,86,1,1,3,AdjLand,Yes,House,AllPub,Paved,RH,7745000,17520
43,Karapakkam,507,49,1,1,2,AbNormal,Yes,House,ELO,Gravel,RH,5728000,16790
44,KK Nagar,2492,113,4,2,6,AbNormal,No,Commercial,NoSeWa,Paved,RL,18725520,5840
45,Karapakkam,851,105,1,1,2,Partial,No,House,AllPub,No Access,C,3572250,10585
46,T Nagar,1882,189,2,1,5,AbNormal,Yes,Others,ELO,Gravel,RM,16051580,7665
47,Anna Nagar,1710,15,1,1,4,Normal Sale,Yes,Commercial,AllPub,Gravel,RH,20215970,4015
48,Karapakkam,1412,28,2,2,4,AdjLand,No,House,ELO,Gravel,RL,8379000,10220
49,Adyar,779,51,1,1,2,Normal Sale,No,House,NoSeWa,No Access,C,5290635,3285
50,T Nagar,1655,19,1,1,4,AbNormal,No,Others,AllPub,Gravel,RH,12548930,12410
51,Karapakkam,940,167,1,1,3,AdjLand,No,House,AllPub,Paved,RH,5857750,17885
52,KK Nagar,1667,126,2,1,4,Partial,Yes,House,NoSeWa,Paved,RM,10729700,1825
53,KK Nagar,1926,49,3,2,5,Family,Yes,Commercial,NoSeWa,Paved,RM,17006780,3285
54,Adyar,718,75,1,1,2,Partial,Yes,Others,ELO,No Access,C,5570050,10950
55,Karapakkam,545,154,1,1,2,Partial,No,Others,ELO,No Access,RH,3854375,10950
56,Karapakkam,1249,25,1,1,3,AdjLand,Yes,Others,ELO,Gravel,RH,8594875,13140
57,T Nagar,1894,187,2,1,5,Partial,Yes,House,NoSeWa,Gravel,RL,13549250,16425
58,Karapakkam,1469,200,2,2,4,AbNormal,No,Commercial,NoSeWa,No Access,C,9480750,1825
59,Adyar,916,32,1,1,3,Normal Sale,Yes,House,ELO,No Access,A,5847520,10220
60,Chrompet,934,11,1,1,3,AdjLand,Yes,House,NoSeWa,Paved,RM,9710900,8030
61,Karapakkam,1691,100,2,2,4,AbNormal,No,House,NoSeWa,Gravel,RM,9398750,11315
62,Karapakkam,1236,36,1,1,3,Normal Sale,No,Commercial,NoSeWa,Paved,I,8806250,14235
63,T Nagar,1577,23,1,1,4,Partial,Yes,Others,NoSeWa,Paved,RH,12087330,13140
64,Anna Nagar,1915,13,2,1,5,Partial,Yes,Others,NoSeWa,Gravel,RH,14175620,14965
65,Anna Nagar,1600,154,1,1,4,Family,Yes,House,ELO,Gravel,RH,11920820,7665
66,Velachery,1579,58,2,1,4,AbNormal,Yes,Commercial,ELO,Paved,I,13364730,8760
67,Adyar,1260,89,2,2,4,Partial,No,Others,NoSeWa,No Access,A,6922975,9125
68,Adyar,1021,176,1,1,3,Normal Sale,No,Commercial,NoSeWa,Paved,I,11673175,1825
69,KK Nagar,2174,48,3,2,5,Family,Yes,Others,AllPub,Paved,RM,13069740,8395
70,Anna Nagar,1589,39,1,1,4,Partial,No,Others,AllPub,Gravel,RL,12212350,16060
71,Adyar,668,177,1,1,2,AbNormal,Yes,Commercial,NoSeWa,Gravel,I,10283575,1825
72,Velachery,1724,116,2,1,4,AbNormal,Yes,House,ELO,No Access,RL,8956480,19710
73,Adyar,890,116,1,1,3,AbNormal,Yes,House,NoSeWa,Paved,C,7187350,10950
74,Adyar,1218,51,2,2,4,Normal Sale,No,Commercial,AllPub,No Access,I,12574850,10950
75,Anna Nagar,1792,41,1,1,4,Family,Yes,House,ELO,Gravel,RM,13906270,7665
76,Karapakkam,1378,192,2,2,4,AdjLand,No,Others,NoSeWa,Gravel,RM,9917500,3285
77,Karapakkam,898,72,1,1,3,Partial,Yes,Commercial,NoSeWa,Paved,RH,8629750,10585
78,Anna Nagar,1928,148,2,1,5,Partial,No,House,AllPub,No Access,RH,11667050,3650
79,Chrompet,1233,24,2,1,4,AbNormal,No,House,NoSeWa,Gravel,RM,9817150,12045
80,Velachery,1618,100,2,1,4,AdjLand,Yes,Others,NoSeWa,Paved,C,9263050,14600
81,Karapakkam,627,49,1,1,2,Family,No,House,NoSeWa,Gravel,RM,6587500,10220
82,Velachery,1563,43,2,1,4,Family,No,House,NoSeWa,Gravel,RM,9799360,10220
83,Karapakkam,1693,187,2,2,4,Normal Sale,Yes,Commercial,NoSeWa,Gravel,C,12801500,2190
84,T Nagar,1522,85,1,1,4,Partial,No,Commercial,AllPub,Gravel,RL,17454510,15695
85,Adyar,1090,171,1,1,3,Partial,Yes,Others,NoSeWa,Gravel,RH,9832420,10220
86,Chrompet,1085,149,1,1,3,AbNormal,Yes,Commercial,NoSeWa,Gravel,RL,14363500,2190
87,T Nagar,1687,73,1,1,4,AbNormal,No,Others,NoSeWa,Paved,RH,12476770,4745
88,Adyar,692,62,1,1,2,Normal Sale,Yes,Commercial,AllPub,Paved,RH,10381355,13505
89,T Nagar,1518,145,1,1,4,Family,Yes,Commercial,AllPub,Paved,RH,17600240,13505
90,Adyar,1025,125,1,1,3,Partial,No,Commercial,NoSeWa,Paved,I,10934875,9125
91,KK Nagar,2170,121,3,2,5,Family,Yes,House,NoSeWa,Gravel,RL,12372160,2920
92,Chrompet,969,70,1,1,3,Family,Yes,Commercial,ELO,No Access,RH,11248750,6205
93,KK Nagar,1546,129,2,1,4,AbNormal,No,Commercial,AllPub,Gravel,RM,14241140,9855
94,KK Nagar,1709,6,2,1,4,AbNormal,Yes,House,NoSeWa,Paved,RL,10160600,7300
95,T Nagar,1659,103,1,1,4,AdjLand,Yes,Others,NoSeWa,No Access,RL,13539080,6570
96,Chrompet,755,8,1,1,2,Normal Sale,No,Commercial,ELO,Gravel,RM,10727750,12045
97,Adyar,1182,50,1,1,3,Normal Sale,Yes,House,AllPub,No Access,RL,9867055,6205
98,Adyar,735,67,1,1,2,AdjLand,No,Commercial,NoSeWa,No Access,RH,9478710,5110
99,Chrompet,1089,0,1,1,3,Normal Sale,Yes,House,ELO,Paved,RL,9050200,11680
100,Velachery,1534,6,2,1,4,Partial,Yes,Others,ELO,Paved,C,7904210,19345
101,Anna Nagar,1622,147,1,1,4,Family,Yes,House,ELO,Gravel,RL,13063450,1825
102,KK Nagar,2198,71,3,2,5,Partial,Yes,Others,NoSeWa,Gravel,RM,13584980,7665
103,Chrompet,1293,34,2,1,4,Normal Sale,No,Commercial,ELO,No Access,RL,13116050,14235
104,KK Nagar,1641,178,2,1,4,Partial,No,Others,AllPub,Gravel,RL,10012600,10585
105,Velachery,1950,185,3,2,5,AdjLand,Yes,Others,NoSeWa,Paved,RL,12105920,14965
106,Karapakkam,1245,106,1,1,3,Partial,No,Others,NoSeWa,Paved,A,4918375,10220
107,Chrompet,905,144,1,1,3,Family,No,Others,ELO,Gravel,RH,7703200,12045
108,KK Nagar,1496,135,2,1,4,Family,No,House,NoSeWa,Gravel,RH,8569080,5110
109,Velachery,1892,38,3,2,5,AdjLand,Yes,House,ELO,Gravel,RM,12146620,13140
110,Velachery,1517,40,2,1,4,Family,No,Commercial,ELO,Paved,C,11671620,4015
111,Adyar,1034,73,1,1,3,AdjLand,Yes,Others,ELO,Gravel,C,9256740,5840
112,Velachery,1755,142,2,1,4,Family,Yes,Commercial,NoSeWa,Gravel,I,14915900,12775
113,Anna Nagar,1622,79,1,1,4,AdjLand,Yes,House,NoSeWa,Paved,RM,13547790,2555
114,Chrompet,1092,89,1,1,3,Normal Sale,No,Others,AllPub,No Access,RH,8213040,1460
115,Chrompet,821,34,1,1,3,AdjLand,No,House,NoSeWa,Paved,RH,7304000,2920
116,KK Nagar,1694,72,2,1,4,Family,No,Others,NoSeWa,Gravel,RL,10390900,4015
117,Anna Nagar,1809,177,2,1,5,Family,No,Commercial,AllPub,No Access,RL,19206870,9490
118,Karapakkam,1401,20,2,2,4,Partial,Yes,Others,AllPub,Gravel,RL,9965375,5110
119,Karapakkam,1470,99,2,2,4,AbNormal,No,Others,NoSeWa,No Access,RH,7207000,9125
120,Chrompet,798,166,1,1,2,Partial,No,Commercial,NoSeWa,Paved,RH,9070550,13505
121,Chrompet,764,137,1,1,2,Partial,No,House,ELO,No Access,RH,5670200,2920
122,Chrompet,1135,50,1,1,3,AbNormal,No,Others,NoSeWa,No Access,RM,9253200,8395
123,Karapakkam,939,74,1,1,3,AbNormal,No,House,ELO,No Access,I,4294000,13870
124,Karapakkam,1586,59,2,2,4,Normal Sale,Yes,Commercial,NoSeWa,Gravel,RM,14316000,10220
125,T Nagar,1973,63,2,1,5,Family,Yes,Commercial,AllPub,Gravel,RM,23307000,12775
126,Chrompet,1023,44,1,1,3,Partial,Yes,House,AllPub,Paved,RM,9735150,6205
127,Chrompet,884,75,1,1,3,Normal Sale,No,Commercial,NoSeWa,No Access,RM,11336400,1460
128,Anna Nagar,1640,113,1,1,4,AdjLand,No,Commercial,ELO,No Access,RH,17701600,1825
129,Adyar,622,60,1,1,2,Normal Sale,No,Others,ELO,No Access,RL,6572900,7300
130,Anna Nagar,1880,90,2,1,5,Partial,Yes,House,NoSeWa,No Access,RM,13423020,5840
131,KK Nagar,2413,166,4,2,6,AbNormal,No,Others,NoSeWa,Paved,RM,13122040,3285
132,T Nagar,1649,169,1,1,4,AdjLand,No,Commercial,AllPub,Gravel,RH,18939100,9125
133,Velachery,1729,144,2,1,4,Partial,Yes,Commercial,NoSeWa,Paved,A,12803570,14965
134,T Nagar,1942,10,2,1,5,Family,No,House,NoSeWa,Gravel,RH,12330740,13505
135,Chrompet,711,116,1,1,2,AdjLand,Yes,Others,NoSeWa,No Access,RL,8050270,4380
136,Chrompet,885,122,1,1,3,Family,No,House,ELO,No Access,RM,7194600,11680
137,KK Nagar,1688,148,2,1,4,AbNormal,Yes,House,NoSeWa,Gravel,RM,11412700,5475
138,Adyar,1236,108,2,2,4,Family,No,Commercial,ELO,Gravel,A,12035355,13505
139,Karapakkam,926,98,1,1,3,Family,No,House,ELO,Gravel,RL,6877000,7300
140,KK Nagar,1686,57,2,1,4,AbNormal,No,Others,NoSeWa,Paved,RM,10346400,8760
141,Karapakkam,1344,129,2,2,4,AdjLand,No,Commercial,NoSeWa,Gravel,RH,10809500,18250
142,KK Nagar,1437,104,2,1,4,Family,No,Others,AllPub,Gravel,RM,10200600,8395
143,Karapakkam,1430,17,2,2,4,AbNormal,Yes,Others,NoSeWa,No Access,A,6635750,3650
144,Adyar,1081,85,1,1,3,Family,No,House,AllPub,No Access,C,6190150,10950
145,Karapakkam,1352,1,2,2,4,Normal Sale,Yes,House,ELO,Gravel,A,6507250,9855
146,KK Nagar,1986,109,3,2,5,Normal Sale,No,House,AllPub,Gravel,RM,11350400,10950
147,Anna Nagar,1758,164,1,1,4,Partial,Yes,Commercial,AllPub,No Access,RL,19285540,15330
148,Karapakkam,607,121,1,1,2,Normal Sale,No,Others,NoSeWa,Gravel,RL,5856625,16790
149,KK Nagar,2139,136,3,2,5,Normal Sale,Yes,Others,NoSeWa,Paved,RL,12472000,7665
150,KK Nagar,1488,97,2,1,4,Partial,No,Others,AllPub,Paved,RH,8441900,9855
151,Velachery,1645,96,2,1,4,Partial,No,House,NoSeWa,No Access,RH,7579320,9490
152,Chrompet,950,177,1,1,3,Normal Sale,Yes,Others,NoSeWa,Gravel,RL,9759000,9490
153,Chrompet,928,90,1,1,3,Partial,Yes,Commercial,AllPub,Gravel,RH,12423800,1460
154,Velachery,1693,145,2,1,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,RM,15495760,19345
155,Velachery,1873,0,3,2,5,Family,Yes,Others,ELO,No Access,RL,11022270,7665
156,Adyar,721,145,1,1,2,Partial,No,Others,NoSeWa,Paved,RL,7605550,3650
157,Karapakkam,1190,37,1,1,3,Family,Yes,House,NoSeWa,Gravel,RH,7967750,10585
158,KK Nagar,1593,9,2,1,4,Partial,No,Others,AllPub,Paved,RH,8946800,6205
159,Chrompet,786,181,1,1,2,AbNormal,Yes,Others,ELO,Gravel,RL,9244820,4380
160,Chrompet,1195,93,1,1,3,AdjLand,No,Others,NoSeWa,Paved,RL,9821600,6935
161,Velachery,1824,187,3,2,5,Normal Sale,No,House,NoSeWa,Paved,I,8549060,12045
162,KK Nagar,1906,81,3,2,5,AbNormal,Yes,Commercial,NoSeWa,Paved,RH,15852740,2555
163,Adyar,656,20,1,1,2,AbNormal,No,Commercial,AllPub,Paved,I,8757635,3285
164,Chrompet,727,84,1,1,2,AbNormal,No,Others,ELO,Gravel,RM,8415990,5840
165,Adyar,931,37,1,1,3,Family,Yes,Others,ELO,Paved,RM,9935595,12045
166,Velachery,1898,108,3,2,5,AdjLand,Yes,Commercial,ELO,No Access,RM,16617860,13870
167,Anna Nagar,1698,15,1,1,4,Family,No,House,NoSeWa,Gravel,RM,12412050,14600
168,T Nagar,1926,193,2,1,5,AdjLand,Yes,Commercial,NoSeWa,No Access,RM,22630540,6205
169,Karapakkam,1481,144,2,2,4,Partial,Yes,Commercial,AllPub,Paved,A,9901500,13870
170,Anna Nagar,1506,122,1,1,4,Family,No,House,ELO,No Access,RM,10449910,12045
171,Chrompet,1020,95,1,1,3,Family,No,House,NoSeWa,No Access,RM,7948600,8760
172,Chrompet,889,196,1,1,3,AbNormal,No,Others,ELO,Gravel,RM,9098680,7665
173,Chrompet,1015,147,1,1,3,Family,Yes,House,AllPub,Paved,RH,8342850,12775
174,T Nagar,1682,78,1,1,4,AbNormal,No,Commercial,AllPub,Gravel,RH,18662350,12775
175,Chrompet,869,39,1,1,3,Family,No,Others,NoSeWa,No Access,RM,8172630,6570
176,Karapakkam,1445,20,2,2,4,Family,No,House,NoSeWa,No Access,I,5856500,8760
177,Anna Nagar,1919,178,2,1,5,Partial,Yes,House,NoSeWa,Gravel,RM,14704160,4745
178,Adyar,1243,141,2,2,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,C,13360440,13140
179,Karapakkam,857,158,1,1,2,Normal Sale,No,House,ELO,Paved,I,4928250,6205
180,Karapakkam,1055,174,1,1,3,AdjLand,Yes,Others,NoSeWa,Gravel,I,7315125,17520
181,KK Nagar,1778,94,3,2,5,Family,No,Others,NoSeWa,Gravel,RL,10998320,2920
182,Karapakkam,851,124,1,1,2,AdjLand,No,Others,ELO,Paved,A,3936375,14965
183,Chrompet,1021,82,1,1,3,Partial,Yes,Others,NoSeWa,No Access,RL,9201770,1460
184,KK Nagar,2203,76,3,2,5,AbNormal,Yes,Commercial,NoSeWa,Paved,RL,17891240,8030
185,Karapakkam,613,81,1,1,2,Family,No,Commercial,NoSeWa,No Access,I,5144500,10950
186,Adyar,738,69,1,1,2,Partial,No,Commercial,NoSeWa,No Access,I,8312670,6570
187,Karapakkam,1489,177,2,2,4,AdjLand,No,House,ELO,Gravel,RH,8007250,10585
188,Karapakkam,795,73,1,1,2,AbNormal,Yes,House,NoSeWa,Gravel,RM,8479250,3285
189,Velachery,1909,11,3,2,5,Family,Yes,Others,AllPub,Gravel,A,10129160,12045
190,Chrompet,1252,190,2,1,4,Family,No,House,AllPub,No Access,RM,9482200,4380
191,Karapakkam,1077,144,1,1,3,AbNormal,No,Commercial,ELO,Paved,RM,9846750,12045
192,KK Nagar,1524,73,2,1,4,Normal Sale,No,Others,NoSeWa,Paved,RH,8675820,9855
193,Chrompet,1049,36,1,1,3,Partial,Yes,House,ELO,Gravel,RM,10262450,4015
194,Velachery,1780,194,2,1,4,AbNormal,No,Others,AllPub,Gravel,C,8671050,20075
195,Chrompet,946,14,1,1,3,AdjLand,No,Commercial,ELO,No Access,RL,11165550,6205
196,Chrompet,906,116,1,1,3,Partial,Yes,House,NoSeWa,Gravel,RM,9464800,11680
197,KK Nagar,2344,71,4,2,6,AbNormal,No,Commercial,NoSeWa,Gravel,RM,18849880,8760
198,Adyar,929,76,1,1,3,AdjLand,Yes,Others,NoSeWa,Paved,RH,9480425,5475
199,Anna Nagar,1843,158,2,1,5,AdjLand,No,House,ELO,No Access,RL,12264750,5475
200,Anna Nagar,1918,187,2,1,5,Partial,Yes,Commercial,AllPub,Gravel,RL,21875050,12775
201,KK Nagar,1507,54,2,1,4,Normal Sale,Yes,Commercial,AllPub,Paved,RH,13538580,6935
202,KK Nagar,1499,89,2,1,4,Family,No,House,AllPub,Gravel,RH,8876320,2190
203,KK Nagar,1526,64,2,1,4,Normal Sale,Yes,Commercial,AllPub,Paved,RH,13645040,8030
204,Anna Nagar,1855,82,2,1,5,AbNormal,Yes,Commercial,NoSeWa,Paved,RH,20996200,3650
205,Karapakkam,1627,39,2,2,4,Normal Sale,Yes,Others,ELO,Paved,RH,9071125,10950
206,Velachery,1846,28,3,2,5,AbNormal,No,House,AllPub,Gravel,RM,10815830,14235
207,KK Nagar,2019,65,3,2,5,AbNormal,Yes,Others,NoSeWa,Paved,RM,12802500,5840
208,Karapakkam,1578,153,2,2,4,Normal Sale,Yes,Others,AllPub,Gravel,I,9532500,4745
209,Velachery,1780,115,2,1,4,Family,Yes,Commercial,NoSeWa,No Access,C,13346700,9125
210,Karapakkam,662,148,1,1,2,Partial,No,Commercial,NoSeWa,No Access,C,4356500,13870
211,Chrompet,1005,17,1,1,3,Family,No,Commercial,NoSeWa,Gravel,RL,12257100,9490
212,Karapakkam,839,102,1,1,2,Partial,No,House,NoSeWa,Paved,C,4100500,7300
213,Anna Nagar,1698,76,1,1,4,Partial,No,House,AllPub,No Access,RM,11527430,12410
214,Adyar,878,16,1,1,3,Partial,Yes,House,NoSeWa,Paved,A,6452785,6935
215,Chrompet,835,77,1,1,3,Partial,Yes,House,ELO,Paved,RM,8434750,13505
216,Chrompet,911,84,1,1,3,Partial,Yes,Others,ELO,No Access,RH,7427820,12045
217,Velachery,1796,176,2,1,4,AdjLand,Yes,House,ELO,No Access,RH,9105350,18250
218,Karapakkam,1004,182,1,1,3,AdjLand,No,Others,ELO,No Access,C,4721500,10220
219,Anna Nagar,1694,86,1,1,4,Normal Sale,No,Others,NoSeWa,Paved,RL,12575010,9855
220,Karapakkam,1244,50,1,1,3,AbNormal,Yes,Others,AllPub,Gravel,I,7952750,11315
221,Karapakkam,588,163,1,1,2,Partial,No,Others,AllPub,Paved,RL,5705500,8760
222,KK Nagar,2342,69,4,2,6,AdjLand,Yes,House,NoSeWa,Paved,RL,12898740,2555
223,Velachery,1835,88,3,2,5,Normal Sale,No,Others,AllPub,Paved,RL,10722580,10585
224,Anna Nagar,1977,84,2,1,5,Partial,Yes,House,AllPub,Gravel,RL,14102960,15695
225,KK Nagar,1961,104,3,2,5,AbNormal,Yes,Commercial,NoSeWa,Gravel,RM,17612900,5475
226,Velachery,1517,82,2,1,4,Normal Sale,Yes,House,NoSeWa,No Access,A,7146890,4380
227,KK Nagar,2409,103,4,2,6,Partial,Yes,Others,NoSeWa,Gravel,RL,13476480,9125
228,Velachery,1864,187,3,2,5,Partial,No,Commercial,ELO,Gravel,RH,15100560,8395
229,Velachery,1643,52,2,1,4,Family,Yes,Commercial,AllPub,Paved,RM,15599020,11315
230,Adyar,1015,76,1,1,3,Family,Yes,Commercial,NoSeWa,No Access,C,11224620,2920
231,Anna Nagar,1700,135,1,1,4,Normal Sale,Yes,Others,NoSeWa,No Access,RH,12477040,11680
232,Karapakkam,624,34,1,1,2,Family,No,Commercial,ELO,No Access,C,4396250,11315
233,Chrompet,980,84,1,1,3,Normal Sale,No,Commercial,NoSeWa,Paved,RL,11900750,6205
234,Karapakkam,1003,196,1,1,3,AbNormal,Yes,Commercial,NoSeWa,Gravel,RH,10090000,7300
235,Adyar,1072,66,1,1,3,Family,Yes,House,NoSeWa,No Access,A,6607690,2190
236,Karapakkam,808,119,1,1,2,AdjLand,No,House,NoSeWa,Gravel,C,4752250,12775
237,Chrompet,1027,131,1,1,3,Normal Sale,No,House,ELO,Paved,RH,7441350,7665
238,Karapakkam,696,84,1,1,2,Normal Sale,No,House,NoSeWa,Gravel,RL,6441250,4015
239,Velachery,1716,86,2,1,4,Family,Yes,House,ELO,Paved,RL,10359860,2920
240,Velachery,1878,18,3,2,5,Family,No,Commercial,AllPub,Paved,C,14328720,2190
241,KK Nagar,1699,98,2,1,4,Normal Sale,Yes,Others,NoSeWa,Gravel,RL,11444100,5840
242,KK Nagar,1626,188,2,1,4,AbNormal,No,House,AllPub,Paved,RM,9680280,8760
243,KK Nagar,1730,200,2,1,4,Normal Sale,No,Commercial,NoSeWa,Gravel,RL,14739360,6570
244,Chrompet,996,78,1,1,3,Family,No,Others,ELO,Gravel,RL,8939620,8030
245,Chrompet,1277,111,2,1,4,AdjLand,Yes,Commercial,AllPub,No Access,RM,15710400,5840
246,Chrompet,906,64,1,1,3,Normal Sale,No,Commercial,NoSeWa,Paved,RH,10226600,11680
247,Anna Nagar,1976,112,2,1,5,Partial,No,House,NoSeWa,Paved,RL,12300050,14600
248,Velachery,1776,120,2,1,4,Normal Sale,Yes,House,NoSeWa,Paved,RH,9989170,7665
249,Karapakkam,1402,112,2,2,4,Normal Sale,No,House,NoSeWa,Gravel,I,6966500,10950
250,Chrompet,1160,138,1,1,3,AdjLand,Yes,Others,AllPub,No Access,RH,9463900,10950
251,Velachery,1957,134,3,2,5,Normal Sale,Yes,Commercial,ELO,No Access,I,15199450,9125
252,T Nagar,1887,48,2,1,5,AdjLand,No,Commercial,NoSeWa,No Access,RL,20499450,7300
253,Velachery,1859,142,3,2,5,Normal Sale,Yes,House,ELO,Paved,RH,9925210,17520
254,Chrompet,747,168,1,1,2,Family,Yes,Commercial,AllPub,No Access,RM,11223550,1825
255,Adyar,985,159,1,1,3,Partial,Yes,House,NoSeWa,Paved,C,7379505,2555
256,Chrompet,1024,77,1,1,3,Normal Sale,Yes,Commercial,AllPub,No Access,RH,12091400,5840
257,Velachery,1600,148,2,1,4,Family,Yes,Others,ELO,Paved,RL,10530200,9125
258,Chrompet,1276,141,2,1,4,Normal Sale,No,Others,NoSeWa,Paved,RL,9604120,13140
259,Chrompet,1159,90,1,1,3,Family,Yes,House,ELO,Gravel,RH,9062800,13140
260,Karapakkam,1024,142,1,1,3,AbNormal,Yes,House,NoSeWa,No Access,C,4748500,18250
261,Adyar,1249,93,2,2,4,AdjLand,No,Commercial,NoSeWa,Paved,A,12642285,6935
262,Chrompet,839,175,1,1,3,Normal Sale,Yes,Others,AllPub,Gravel,RH,9107430,5840
263,Chrompet,1286,105,2,1,4,AbNormal,No,House,AllPub,No Access,RM,9153300,12410
264,KK Nagar,2467,69,4,2,6,AdjLand,No,House,AllPub,Gravel,RL,12650920,5840
265,Karapakkam,653,121,1,1,2,AdjLand,No,Commercial,ELO,No Access,RM,7635250,5475
266,Karapakkam,606,4,1,1,2,Family,Yes,Others,NoSeWa,Gravel,RM,7854000,6205
267,T Nagar,1837,81,2,1,5,AdjLand,Yes,House,ELO,No Access,RL,13197230,10585
268,Velachery,1880,95,3,2,5,Family,Yes,Commercial,NoSeWa,No Access,C,13669670,16790
269,KK Nagar,2189,1,3,2,5,AdjLand,Yes,Commercial,AllPub,Gravel,RH,18249860,8395
270,Velachery,1853,123,3,2,5,AdjLand,Yes,Commercial,NoSeWa,Paved,C,14707330,17885
271,Chrompet,1057,200,1,1,3,Normal Sale,No,Others,AllPub,Paved,RL,9144840,6205
272,Adyar,723,49,1,1,2,Family,No,Commercial,ELO,Gravel,RM,10969920,10220
